Name,Creator,Image,Description,Difficulty,Time,Paper Shape,Sheets,Image_GitHub
Anglerfish,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC02287-export-900x900.jpg,Anglerfish model with large mouth that can be animated.,Moderate,26 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02287-export-900x900.jpg
Bellsprout,KM,https://origami-database.com/wp-content/uploads/DSC02290-export-900x900.jpg,Plant Pokémon with reverse colored leaves and lips.,Intermediate,27 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02290-export-900x900.jpg
Mount Fuji,Jo Nakashima,https://origami-database.com/wp-content/uploads/DSC02436-export-scaled.jpg,Volcano with reverse-colored peak.,Easy,12 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02436-export-scaled.jpg
Dragon,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC02439-export-900x900.jpg,"Standing dragon with long, straight neck.",Intermediate,26 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02439-export-900x900.jpg
Cattle,Muneji Fuchimoto,https://origami-database.com/wp-content/uploads/DSC02450-export.jpg,"Cow with distinctive head and reverse-colored head, tail and underside.",Moderate,32 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02450-export.jpg
Vaporeon,Henry Phạm,https://origami-database.com/wp-content/uploads/DSC02447-export-900x900.jpg,Pokémon model with long fish-like tail and reverse-colored fin around its neck.,Moderate,40 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02447-export-900x900.jpg
Jolteon,Henry Phạm,https://origami-database.com/wp-content/uploads/DSC02453-export.jpg,Pokémon model with spikey tail and reverse-colored ruff.,Moderate,44 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02453-export.jpg
Flareon,Aidan Johnathan,https://origami-database.com/wp-content/uploads/DSC02444-export-900x900.jpg,Quadrupedal Pokémon model with flaming tail and head.,Moderate,36 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02444-export-900x900.jpg
Crested Kingfisher,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC02438-export-3000x3000.jpg,Bird model with large break and crest on its head.,Moderate,37 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02438-export-3000x3000.jpg
Goose,Jo Nakashima,https://origami-database.com/wp-content/uploads/DSC02433-export-900x900.jpg,Standing goose model with reverse-colored legs and beak.,Intermediate,36 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02433-export-900x900.jpg
Fox 2017,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC02247-export.jpg,Abstract fox model with large tail.,Moderate,11 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02247-export.jpg
Frilled Lizard,Phạm Hoàng Tuấn,https://origami-database.com/wp-content/uploads/DSC02281-export-900x900.jpg,Standing lizard with large frill around its neck.,Intermediate,40 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02281-export-900x900.jpg
Mole,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC02250-export.jpg,Front end of a mole with three-digit claws.,Moderate,9 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02250-export.jpg
Polar Bear,Joseph Wu,https://origami-database.com/wp-content/uploads/DSC02280-export.jpg,Abstract polar bear model with distinct ears.,Moderate,9 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02280-export.jpg
Mermaid,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC02254-export-900x900.jpg,"Flat abstract mermaid model with reverse-colored head, body and arms.",Moderate,25 minutes,1:2 rectangle,Square,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02254-export-900x900.jpg
Chick,Ryosuke Sakurai,https://origami-database.com/wp-content/uploads/DSC02252-export.jpg,Stylized bird chick with wings.,Easy,6 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02252-export.jpg
Western Dragon,John Montroll,https://origami-database.com/wp-content/uploads/DSC02234-export-scaled.jpg,Quadrupal dragon with curved tail and horned head.,Intermediate,48 minutes,Square,1 sheet,https://raw.githubusercontent.com/rxbrooks15/origami_regression/main/folder/DSC02234-export-scaled.jpg
